축제명,그룹명,개최년도,구분명,지표값
서산해미읍성축제,축제기간,2025,외부방문자 유입,0.663
서산해미읍성축제,축제기간,2025,현지인방문자 유입,0.782
서산해미읍성축제,축제기간,2025,내비게이션 검색량,0.588
서산해미읍성축제,축제기간,2025,관광소비,0.544
서산해미읍성축제,축제기간,2025,축제지 집중률,0.855
서산해미읍성축제,비축제기간,2025,외부방문자 유입,0.419
서산해미읍성축제,비축제기간,2025,현지인방문자 유입,0.457
서산해미읍성축제,비축제기간,2025,내비게이션 검색량,0.369
서산해미읍성축제,비축제기간,2025,관광소비,0.564
서산해미읍성축제,비축제기간,2025,축제지 집중률,0.556
서산해미읍성축제,축제기간,2024,외부방문자 유입,0.717
서산해미읍성축제,축제기간,2024,현지인방문자 유입,0.808
서산해미읍성축제,축제기간,2024,내비게이션 검색량,0.676
서산해미읍성축제,축제기간,2024,관광소비,0.654
서산해미읍성축제,축제기간,2024,축제지 집중률,0.859
서산해미읍성축제,비축제기간,2024,외부방문자 유입,0.409
서산해미읍성축제,비축제기간,2024,현지인방문자 유입,0.525
서산해미읍성축제,비축제기간,2024,내비게이션 검색량,0.228
서산해미읍성축제,비축제기간,2024,관광소비,0.545
서산해미읍성축제,비축제기간,2024,축제지 집중률,0.588
서산해미읍성축제,축제기간,2023,외부방문자 유입,0.608
서산해미읍성축제,축제기간,2023,현지인방문자 유입,0.856
서산해미읍성축제,축제기간,2023,내비게이션 검색량,0.718
서산해미읍성축제,축제기간,2023,관광소비,0.639
서산해미읍성축제,축제기간,2023,축제지 집중률,0.8
서산해미읍성축제,비축제기간,2023,외부방문자 유입,0.434
서산해미읍성축제,비축제기간,2023,현지인방문자 유입,0.477
서산해미읍성축제,비축제기간,2023,내비게이션 검색량,0.309
서산해미읍성축제,비축제기간,2023,관광소비,0.62
서산해미읍성축제,비축제기간,2023,축제지 집중률,0.58
서산해미읍성축제,축제기간,2022,외부방문자 유입,0.594
서산해미읍성축제,축제기간,2022,현지인방문자 유입,0.769
서산해미읍성축제,축제기간,2022,내비게이션 검색량,0.606
서산해미읍성축제,축제기간,2022,관광소비,0.718
서산해미읍성축제,축제기간,2022,축제지 집중률,0.809
서산해미읍성축제,비축제기간,2022,외부방문자 유입,0.509
서산해미읍성축제,비축제기간,2022,현지인방문자 유입,0.506
서산해미읍성축제,비축제기간,2022,내비게이션 검색량,0.333
서산해미읍성축제,비축제기간,2022,관광소비,0.658
서산해미읍성축제,비축제기간,2022,축제지 집중률,0.705
서산해미읍성축제,축제기간,2019,외부방문자 유입,0.623
서산해미읍성축제,축제기간,2019,현지인방문자 유입,0.746
서산해미읍성축제,축제기간,2019,내비게이션 검색량,0.542
서산해미읍성축제,축제기간,2019,관광소비,0.633
서산해미읍성축제,축제기간,2019,축제지 집중률,0.919
서산해미읍성축제,비축제기간,2019,외부방문자 유입,0.455
서산해미읍성축제,비축제기간,2019,현지인방문자 유입,0.433
서산해미읍성축제,비축제기간,2019,내비게이션 검색량,0.247
서산해미읍성축제,비축제기간,2019,관광소비,0.618
서산해미읍성축제,비축제기간,2019,축제지 집중률,0.683
서산해미읍성축제,축제기간,2018,외부방문자 유입,0.599
서산해미읍성축제,축제기간,2018,현지인방문자 유입,0.789
서산해미읍성축제,축제기간,2018,내비게이션 검색량,0.7
서산해미읍성축제,축제기간,2018,관광소비,0.633
서산해미읍성축제,축제기간,2018,축제지 집중률,0.895
서산해미읍성축제,비축제기간,2018,외부방문자 유입,0.407
서산해미읍성축제,비축제기간,2018,현지인방문자 유입,0.454
서산해미읍성축제,비축제기간,2018,내비게이션 검색량,0.315
서산해미읍성축제,비축제기간,2018,관광소비,0.633
서산해미읍성축제,비축제기간,2018,축제지 집중률,0.681
