축제명,그룹명,개최년도,구분명,지표값
보성다향대축제,축제기간,2025,외부방문자 유입,0.68
보성다향대축제,축제기간,2025,현지인방문자 유입,0.663
보성다향대축제,축제기간,2025,내비게이션 검색량,0.563
보성다향대축제,축제기간,2025,관광소비,0.64
보성다향대축제,축제기간,2025,축제지 집중률,0.831
보성다향대축제,비축제기간,2025,외부방문자 유입,0.185
보성다향대축제,비축제기간,2025,현지인방문자 유입,0.577
보성다향대축제,비축제기간,2025,내비게이션 검색량,0.084
보성다향대축제,비축제기간,2025,관광소비,0.274
보성다향대축제,비축제기간,2025,축제지 집중률,0.523
보성다향대축제,축제기간,2024,외부방문자 유입,0.55
보성다향대축제,축제기간,2024,현지인방문자 유입,0.731
보성다향대축제,축제기간,2024,내비게이션 검색량,0.439
보성다향대축제,축제기간,2024,관광소비,0.519
보성다향대축제,축제기간,2024,축제지 집중률,0.837
보성다향대축제,비축제기간,2024,외부방문자 유입,0.257
보성다향대축제,비축제기간,2024,현지인방문자 유입,0.626
보성다향대축제,비축제기간,2024,내비게이션 검색량,0.144
보성다향대축제,비축제기간,2024,관광소비,0.373
보성다향대축제,비축제기간,2024,축제지 집중률,0.57
보성다향대축제,축제기간,2023,외부방문자 유입,0.579
보성다향대축제,축제기간,2023,현지인방문자 유입,0.727
보성다향대축제,축제기간,2023,내비게이션 검색량,0.39
보성다향대축제,축제기간,2023,관광소비,0.415
보성다향대축제,축제기간,2023,축제지 집중률,0.777
보성다향대축제,비축제기간,2023,외부방문자 유입,0.275
보성다향대축제,비축제기간,2023,현지인방문자 유입,0.599
보성다향대축제,비축제기간,2023,내비게이션 검색량,0.162
보성다향대축제,비축제기간,2023,관광소비,0.321
보성다향대축제,비축제기간,2023,축제지 집중률,0.483
보성다향대축제,축제기간,2022,외부방문자 유입,0.0
보성다향대축제,축제기간,2022,현지인방문자 유입,0.0
보성다향대축제,축제기간,2022,내비게이션 검색량,0.0
보성다향대축제,축제기간,2022,관광소비,0.0
보성다향대축제,축제기간,2022,축제지 집중률,0.0
보성다향대축제,비축제기간,2022,외부방문자 유입,0.0
보성다향대축제,비축제기간,2022,현지인방문자 유입,0.0
보성다향대축제,비축제기간,2022,내비게이션 검색량,0.0
보성다향대축제,비축제기간,2022,관광소비,0.0
보성다향대축제,비축제기간,2022,축제지 집중률,0.0
보성다향대축제,축제기간,2019,외부방문자 유입,0.572
보성다향대축제,축제기간,2019,현지인방문자 유입,0.784
보성다향대축제,축제기간,2019,내비게이션 검색량,0.522
보성다향대축제,축제기간,2019,관광소비,0.606
보성다향대축제,축제기간,2019,축제지 집중률,0.72
보성다향대축제,비축제기간,2019,외부방문자 유입,0.23
보성다향대축제,비축제기간,2019,현지인방문자 유입,0.638
보성다향대축제,비축제기간,2019,내비게이션 검색량,0.129
보성다향대축제,비축제기간,2019,관광소비,0.337
보성다향대축제,비축제기간,2019,축제지 집중률,0.543
보성다향대축제,축제기간,2018,외부방문자 유입,0.489
보성다향대축제,축제기간,2018,현지인방문자 유입,0.749
보성다향대축제,축제기간,2018,내비게이션 검색량,0.493
보성다향대축제,축제기간,2018,관광소비,0.447
보성다향대축제,축제기간,2018,축제지 집중률,0.722
보성다향대축제,비축제기간,2018,외부방문자 유입,0.272
보성다향대축제,비축제기간,2018,현지인방문자 유입,0.681
보성다향대축제,비축제기간,2018,내비게이션 검색량,0.205
보성다향대축제,비축제기간,2018,관광소비,0.36
보성다향대축제,비축제기간,2018,축제지 집중률,0.537
