축제명,그룹명,개최년도,구분명,지표값
목포항구축제,축제기간,2025,외부방문자 유입,0.237
목포항구축제,축제기간,2025,현지인방문자 유입,0.789
목포항구축제,축제기간,2025,내비게이션 검색량,0.1
목포항구축제,축제기간,2025,관광소비,0.459
목포항구축제,축제기간,2025,축제지 집중률,0.394
목포항구축제,비축제기간,2025,외부방문자 유입,0.254
목포항구축제,비축제기간,2025,현지인방문자 유입,0.771
목포항구축제,비축제기간,2025,내비게이션 검색량,0.343
목포항구축제,비축제기간,2025,관광소비,0.514
목포항구축제,비축제기간,2025,축제지 집중률,0.398
목포항구축제,축제기간,2024,외부방문자 유입,0.827
목포항구축제,축제기간,2024,현지인방문자 유입,0.921
목포항구축제,축제기간,2024,내비게이션 검색량,0.678
목포항구축제,축제기간,2024,관광소비,0.521
목포항구축제,축제기간,2024,축제지 집중률,0.908
목포항구축제,비축제기간,2024,외부방문자 유입,0.615
목포항구축제,비축제기간,2024,현지인방문자 유입,0.51
목포항구축제,비축제기간,2024,내비게이션 검색량,0.447
목포항구축제,비축제기간,2024,관광소비,0.545
목포항구축제,비축제기간,2024,축제지 집중률,0.669
목포항구축제,축제기간,2023,외부방문자 유입,0.646
목포항구축제,축제기간,2023,현지인방문자 유입,0.921
목포항구축제,축제기간,2023,내비게이션 검색량,0.498
목포항구축제,축제기간,2023,관광소비,0.488
목포항구축제,축제기간,2023,축제지 집중률,0.941
목포항구축제,비축제기간,2023,외부방문자 유입,0.5
목포항구축제,비축제기간,2023,현지인방문자 유입,0.503
목포항구축제,비축제기간,2023,내비게이션 검색량,0.399
목포항구축제,비축제기간,2023,관광소비,0.534
목포항구축제,비축제기간,2023,축제지 집중률,0.696
목포항구축제,축제기간,2022,외부방문자 유입,0.847
목포항구축제,축제기간,2022,현지인방문자 유입,0.979
목포항구축제,축제기간,2022,내비게이션 검색량,0.46
목포항구축제,축제기간,2022,관광소비,0.634
목포항구축제,축제기간,2022,축제지 집중률,0.973
목포항구축제,비축제기간,2022,외부방문자 유입,0.631
목포항구축제,비축제기간,2022,현지인방문자 유입,0.517
목포항구축제,비축제기간,2022,내비게이션 검색량,0.375
목포항구축제,비축제기간,2022,관광소비,0.676
목포항구축제,비축제기간,2022,축제지 집중률,0.713
목포항구축제,축제기간,2019,외부방문자 유입,0.73
목포항구축제,축제기간,2019,현지인방문자 유입,0.888
목포항구축제,축제기간,2019,내비게이션 검색량,0.461
목포항구축제,축제기간,2019,관광소비,0.631
목포항구축제,축제기간,2019,축제지 집중률,0.9
목포항구축제,비축제기간,2019,외부방문자 유입,0.534
목포항구축제,비축제기간,2019,현지인방문자 유입,0.524
목포항구축제,비축제기간,2019,내비게이션 검색량,0.28
목포항구축제,비축제기간,2019,관광소비,0.597
목포항구축제,비축제기간,2019,축제지 집중률,0.65
목포항구축제,축제기간,2018,외부방문자 유입,0.568
목포항구축제,축제기간,2018,현지인방문자 유입,0.636
목포항구축제,축제기간,2018,내비게이션 검색량,0.356
목포항구축제,축제기간,2018,관광소비,0.464
목포항구축제,축제기간,2018,축제지 집중률,0.791
목포항구축제,비축제기간,2018,외부방문자 유입,0.527
목포항구축제,비축제기간,2018,현지인방문자 유입,0.516
목포항구축제,비축제기간,2018,내비게이션 검색량,0.412
목포항구축제,비축제기간,2018,관광소비,0.564
목포항구축제,비축제기간,2018,축제지 집중률,0.637
